doc_key;from_id;to_id;text;from_placename;to_placename;error
0350_0001-0000-0000-0005-0000;Q12039461;Q1488700;od Můstku až k Prašné bráně;Můstek;Powder Tower;
0353_0001-0001-0000-0001-0000;Q641;Q641;od žaláře okno , v Benátkách když jsem , ať po Benátkách;Venice;Venice;same place
0353_0001-0001-0000-0003-0000;Q393309;Q157736;od Žabljaka do Morači vody;Žabljak;Morača;
0353_0001-0001-0000-0003-0000;Q393309;Q2662391;od Žabljaka do Morači;Žabljak;Morač;
0353_0001-0002-0000-0001-0000;Q3489993;Q730378;ze všech Brd až do zelené Tary;Brdy;Tara;
0353_0001-0002-0000-0001-0000;Q2662391;Q730378;ze vsi do vsi od Morači do zelené Tary;Morač;Tara;
0353_0001-0002-0000-0001-0000;Q2662391;Q730378;od Morači do zelené Tary;Morač;Tara;
0353_0001-0002-0000-0002-0000;Q2662391;Q1066857;od Morači do Sitnice;Morač;Sitnica (Ibar);
0353_0001-0002-0000-0005-0000;Q3560285;Q3123315;Od Vinićů přes Bělopavliće rovnou cestou ke Spužu;Vinići;Spuž;
0388_0001-0000-0000-0016-0000;Q157290;Q35600;od Šumavy naší dálný po Urál;Bohemian Forest;Ural Mountains;
0397_0001-0000-0000-0001-0000;Q157290;Q194263;od Šumavy do Tater;Bohemian Forest;Tatra Mountains;
0397_0001-0000-0000-0007-0000;Q157290;Q194263;od Šumavy do Tater;Bohemian Forest;Tatra Mountains;
0408_0-0002-0000-0001-0000;Q584;Q1653;Ode Reynu až tam k zátoce , Kterou Dunaj;Rhine;Danube;
0410_0001-0001-0000-0001-0000;Q1644;Q548;Od Labe zrádného k rovinám až Visly nevěrné;Elbe;Vistula;
0410_0001-0001-0000-0001-0000;Q548;Q545;Od Labe zrádného k rovinám až Visly nevěrné , Od Dunaje k heltným Baltu;Vistula;Baltic Sea;repeated
0410_0001-0001-0000-0001-0000;Q1653;Q545;Od Dunaje k heltným Baltu;Danube;Baltic Sea;
0410_0001-0003-0000-0015-0000;Q13924;Q545;Od Adrie k Baltu;Adriatic Sea;Baltic Sea;
0410_0001-0003-0000-0015-0000;Q13924;Q33;Od Adrie k Baltu po zem Finskou;Adriatic Sea;Finland;
0410_0001-0003-0000-0015-0000;Q545;Q33;Od Adrie k Baltu po zem Finskou;Baltic Sea;Finland;remove
0410_0001-0003-0000-0074-0000;Q111224;Q497060;Od Těšmíra dále na Vagrie Levou stranu jdeme do Plonu;Holstein;Plön;
0410_0001-0003-0000-0094-0000;Q2978;Q11863119;z Řezna do Děvína;Regensburg;Děvín;
0410_0001-0003-0000-0137-0000;Q130321;Q1024;Od Athosa k Trigle;Mount Athos;Triglav;
0410_0001-0003-0000-0137-0000;Q130321;Q104520;Od Athosa k Trigle , k Pomořanům;Mount Athos;Pomerania;
0410_0001-0003-0000-0137-0000;Q1024;Q104520;Od Athosa k Trigle , k Pomořanům;Triglav;Pomerania;remove
