"lang","doc_key","from_id","to_id","text","author_name","year_birth","year_death","from_placename","from_latitude","from_longitude","from_type","from_type_detail","to_placename","to_latitude","to_longitude","to_type","to_type_detail"
"cs","0242_0001-0000-0000-0001-0012","Q32530","Q213","Z Lužic do Čech","Heyduk, Adolf",1835,1923,"Lusatia",51.5450653,14.72614,"region","land","Czech Republic",50,15,"country","country"
"cs","0242_0001-0000-0000-0001-0012","Q32530","Q1085","z Lužic k Praze","Heyduk, Adolf",1835,1923,"Lusatia",51.5450653,14.72614,"region","land","Prague",50.0875,14.4213888888889,"city","city"
"cs","0242_0001-0000-0000-0001-0012","Q384403","Q63855","z Litoměřic do Roudnice","Heyduk, Adolf",1835,1923,"Litoměřice",50.53355947692,14.131899491403,"city","city","Roudnice nad Labem",50.425361080625,14.261840817268,"city","city"
"cs","0246_0001-0000-0000-0007-0000","Q750224","Q392571","od Strakonic k Štěkni","Heyduk, Adolf",1835,1923,"Strakonice",49.261497897079,13.902396874574,"city","city","Štěkeň",49.267231177778,14.00591071602,"village","village"
"cs","0247_0001-0000-0000-0004-0000","Q10396708","Q158245","od Šamonic k Písku","Heyduk, Adolf",1835,1923,"Šamonice",49.3578,14.0308,"village","village","Písek",49.30888068684,14.147530601921,"city","city"
"cs","0248_0001-0000-0000-0041-0001","Q744598","Q616334","z Hradčan k Vyšehradu","Heyduk, Adolf",1835,1923,"Hradčany",50.089444444444,14.397222222222,"city part","city part","Vyšehrad",50.064427188,14.417644214,"castle/fort","historic fort"
"cs","0249_0001-0000-0000-0010-0000","Q954596","Q986068","Z Brodu cizák v český kraj k Domažlicům","Heyduk, Adolf",1835,1923,"Havlíčkův Brod",49.607899638305,15.580727658514,"city","city","Domažlice",49.440605680467,12.929798039263,"city","city"
"cs","0249_0001-0000-0000-0011-0000","Q220","Q1085","z Říma do Prahy","Heyduk, Adolf",1835,1923,"Rome",41.893055555556,12.482777777778,"city","city","Prague",50.0875,14.4213888888889,"city","city"
"cs","0249_0001-0000-0000-0026-0000","Q327764","Q158245","od Prachatic k Písku","Heyduk, Adolf",1835,1923,"Prachatice",49.013013368826,13.997533003713,"city","city","Písek",49.30888068684,14.147530601921,"city","city"
"cs","0250_0001-0000-0000-0013-0000","Q43266","Q4198","od Moravy ku hor Krušných davu","Heyduk, Adolf",1835,1923,"Moravia",49.5,17,"region","land","Ore Mountains",50.58333333,13,"mountain","mountain"
