"","id","lat","lon","placename","type"
"350","Q36647",51.9,-8.4730555555556,"Cork","default"
"351","Q1973",54.5,-124.5,"British Columbia","default"
"352","Q62",37.7775,-122.416388888889,"San Francisco","default"
"353","Q40191",-42.883333333333,147.31666666667,"Hobart","default"
"354","Q1285",43.281667,12.581944,"Apennine Mountains","mountain"
"355","Q1930746",51.5486,-9.2636,"Skibbereen","default"
"356","Q1439",31,-100,"Texas","default"
"357","Q33959",43.701944444444,7.2683333333333,"Nice","default"
"358","Q82070",33.266666666667,35.2,"Tyre","default"
"359","Q1297",41.85003,-87.65005,"Chicago","default"
"360","Q771",42.3,-71.8,"Massachusetts","default"
"361","Q5330799",43.0167,-85.9564,"Eastmanville","default"
"362","Q19709",51.9964,-2.1636,"River Avon","river"
"363","Q180294",32.052222222222,34.753055555556,"Jaffa","default"
"364","Q182343",42.8842,-78.9142,"Niagara River","river"
"365","Q40435",42.8863888888889,-78.8780555555556,"Buffalo","default"
"366","Q487564",43.41,-74.96,"Herkimer County","default"
"367","Q1360927",57.75,-3.5,"Moray Firth","default"
"368","Q12431",42.666666666667,1,"Pyrenees","mountain"
"369","Q203950",36.183333333333,-6.0333333333333,"Cape Trafalgar","default"
"370","Q986634",46.496944444444,-84.345555555556,"Sault Ste. Marie","default"
"371","Q745295",36.559,22.4303,"Mani Peninsula","default"
"372","Q5303081",50.3618,-4.3701,"Downderry","default"
"373","Q1024896",50.3535,-4.454,"Looe","default"
"374","Q7289328",50.3246,-4.2133,"Rame","default"
"375","Q23154",51.4536111111111,-2.5975,"Bristol","default"
"376","Q6454",50.9475,1.8555555555556,"Calais","default"
"377","Q318306",-17.876388888889,36.887222222222,"Quelimane","default"
"378","Q135744",29.3013889,-94.7977778,"Galveston","default"
"379","Q42462",53.95,-1.0833333333333,"York","default"
"380","Q917319",39.083333333333,-9.2666666666667,"Torres Vedras","default"
"381","Q1757559",51.27,-2.12,"Bratton","default"
"382","Q23156",50.7,-3.8,"Devon","default"
"383","Q7687213",40.2701388888889,140.446861111111,"Tashiro","default"
"384","Q812895",50.7375,0.2475,"Beachy Head","default"
"385","Q991055",51.714180555556,-5.0427388888889,"Milford Haven","default"
"386","Q23298",51.19,0.73,"Kent","default"
"387","Q7114777",50.95,-1.54,"Ower","default"
"388","Q2292191",54.651388888889,-3.1477777777778,"Skiddaw","mountain"
"389","Q7355468",52.585138888889,1.4117694444444,"Rockland St Mary","default"
"390","Q2568918",52.5791,0.98283888888889,"Hingham","default"
"391","Q130191",52.6286111111111,1.29277777777778,"Norwich","default"
"392","Q1134899",-25.983333333333,32.7,"Maputo Bay","default"
"393","Q14294",38.8525,-9.0137,"Tagus River","river"
"394","Q14299",41.14,-8.66,"Douro","river"
"395","Q23792",31.625321,35.145264,"Palestine","default"
"396","Q2471",15.35,44.2,"Sanaa","default"
"397","Q102728",50.8508333333333,2.885,"Ypres","default"
"398","Q163584",54.991666666667,-7.3416666666667,"Derry","default"
"399","Q1413986",52.48294,-9.68903,"River Feale","river"
"400","Q503262",55.764164,-1.986574,"River Tweed","river"
"401","Q241021",48.816388888889,2.3211111111111,"Montrouge","default"
"402","Q130978",19.5511111111111,-89.2963888888889,"Yucatan Peninsula","default"
"403","Q45240",43.738942,7.425237,"Monte Carlo","default"
"404","Q372324",64.066666666667,-139.42916666667,"Dawson City","default"
"405","Q179224",51.1275,1.3122222222222,"Dover","default"
"406","Q1546553",64.9233,-157.5539,"Koyukuk River","river"
"407","Q2497835",50.908480555556,-0.53403888888889,"Amberley","default"
"408","Q7620330",50.9178,-0.45459,"Storrington","default"
"409","Q5456",-32.65333333,-70.01166667,"Andes","mountain"
"410","Q189387",40.7311111111111,13.8955555555556,"Ischia","default"
"411","Q2065416",51.5262,-0.1178,"St Pancras","default"
"412","Q149836",51.541,-0.1433,"Camden Town","default"
"413","Q2702410",46.65873056,-53.07285278,"Cape Race","default"
"414","Q1490",35.6894444444444,139.691666666667,"Tokyo","default"
"415","Q12898802",37.6,22.2,"Arcadia","default"
"416","Q690347",36.125833333333,-5.3430555555556,"Rock of Gibraltar","default"
"417","Q648",50.631944444444,3.0575,"Lille","default"
"418","Q79848",50.9066666666667,-1.40444444444444,"Southampton","default"
"419","Q134672",50.7255555555556,-3.52694444444444,"Exeter","default"
"420","Q134514",29.966666666667,32.533333333333,"Suez","default"
"421","Q4558",46.8505,-121.76,"Cascade Range","mountain"
"422","Q604141",47.8331,-122.435,"Puget Sound","default"
"423","Q230",42,44,"Georgia","country"
"424","Q1393",39,-75.5,"Delaware","default"
"425","Q179444",38,-76.335,"Potomac River","river"
"426","Q3140",40.6001,-74.042,"Hudson River","river"
"427","Q326295",41.9586111111111,-70.6677777777778,"Plymouth","default"
"428","Q129705",40.390836111111,-111.64594444444,"Mount Timpanogos","mountain"
"429","Q15282",25.566666666667,-99.970555555556,"Nuevo León","default"
"430","Q4736866",43.47,-71.234166666667,"Alton Bay","default"
"431","Q34903434",43.90063,-71.49813,"Sandwich Dome","mountain"
"432","Q6726033",43.3873,-71.0673,"Mad River","river"
"433","Q894570",42.34394444,-71.06597222,"Boston Neck","default"
"434","Q233",35.8833333333333,14.5,"Malta","country"
"435","Q23666",53.833333333333,-2.4166666666667,"Great Britain","default"
"436","Q185318",32.72062,35.03145,"Mount Carmel","mountain"
"437","Q134287",36.916666666667,34.9,"Tarsus","default"
"438","Q2817296",37.7306,-99.9347,"Fort Dodge","default"
"439","Q13498",40.4711111111111,17.2430555555556,"Taranto","default"
"440","Q159987",50.5,2.5,"Artois","default"
"441","Q27",53,-8,"Republic of Ireland","country"
"442","Q233733",46.255833333333,6.1080555555556,"Ferney-Voltaire","default"
