id,placename,type,latitude,longitude,source_lat,source_lon,mouth_lat,mouth_lon,mid_lat,mid_lon
Q596106,Sabine River,river,29.9855,-93.7904,32.8082,-95.9205,29.875,-93.8475,31.966937,-94.003709
Q686021,Allegheny River,river,40.4433333333333,-80.014444444444507,38.6997,-79.5328,36.9867,-89.1311,41.680902,-79.409733
Q838143,Gila River,river,32.7205,-114.5575,33.306731,-108.6170018,31.815,-114.8,33.057684,-111.364951
Q2210898,Saco River,river,43.4611,-70.3769,44.2161767,-71.4095216,43.4937,-70.36838,44.005406,-70.898503
Q17812,Guadalete,river,36.578888888889,-6.2415361111111,36.755833333,-5.395,36.494166666,-6.216944444,36.821958,-5.696925
Q14305,Guadiana,river,37.1685,-7.3959,39.13333,-3.51667,36.783333333,-7.233333333,38.924112,-6.803039
Q14556,Sil,river,42.4538,-7.7306,43.013622222,-6.187019444,41.865277777,-8.869722222,42.414417,-6.982591
Q851323,Tanaro,river,45.006,8.769,44.16666667,8.08333333,44.701444444,7.093055555,44.622971,7.877860
Q1684,Spree,river,52.5361,13.2089,51.008333333,14.585277777,52.8753,12.0044,51.746429,14.345026
Q214874,Jhelum River,river,31.17,72.15,33.534722222,75.249722222,29.349262161,71.02815628,33.155781,73.641576
Q1139404,Msta,river,58.415555555556,31.338333333333,57.739166666,34.486111111,58.266666666,31.283333333,58.498733,33.723568
Q79082,Kama,river,55.5903,51.5039,58.195138888,53.754305555,57.251331194,32.467965694,57.811596,55.425478
Q202796,Desna,river,50.5503,30.5378,54.583333333,33.283333333,46.4964,32.2872,52.354769,33.416638
Q4317399,Nepryadva,river,53.6708,38.6515,53.549147,38.037615,47.0864,39.2386,53.567461,38.480560
Q156237,Western Bug,river,52.5067,21.0844,49.0275,27.85619444,52.433333333,20.676944444,51.217178,23.737178
Q124653,Tobol,river,51.4667,61.0085,51.0,63.0,47.414527777,90.215544444,55.248301,65.238419
Q78898,Onega,river,63.935,37.988055555556,61.333333333,38.8,64.333333333,36.5,62.601393, 39.889637
Q14383,Sava,river,44.831666666667,20.449722222222,46.344230555,14.155411111,48.095111111,8.154888888,45.145617,17.225926
